time,bf_03,bf_04,bl_ce193
2018-03-06 18:10:00,14.21505395,4.523,1.51362054
2018-03-06 18:15:00,12.6966543,4.523,1.51362054
2018-03-06 18:20:00,11.33375258,4.171,1.51362054
2018-03-06 18:25:00,12.5603042,4.171,NA
2018-03-06 18:30:00,13.96842252,3.204,1.51362054
2018-03-06 18:35:00,14.02645901,2.911,NA
2018-03-06 18:40:00,13.49611186,3.204,1.51362054
2018-03-06 18:45:00,17.58217356,3.511,NA
2018-03-06 18:50:00,13.24012418,3.511,1.51362054
2018-03-06 18:55:00,12.37975954,4.171,NA
2018-03-06 19:00:00,13.46260476,4.171,1.51362054
2018-03-06 19:05:00,12.59538854,3.204,1.51362054
2018-03-06 19:10:00,13.84838749,2.911,NA
2018-03-06 19:15:00,13.46071837,3.511,NA
2018-03-06 19:20:00,13.56600927,3.511,NA
2018-03-06 19:25:00,12.87596239,3.511,NA
2018-03-06 19:30:00,11.82178527,3.511,1.51362054
2018-03-06 19:35:00,12.30392536,3.511,1.51362054
2018-03-06 19:40:00,13.62234233,NA,1.51362054
2018-03-06 19:45:00,13.05636194,4.523,1.51362054
2018-03-06 19:50:00,12.54885967,4.523,1.51362054
2018-03-06 19:55:00,12.55709291,4.523,1.51362054
2018-03-06 20:00:00,13.49442735,4.523,1.51362054
2018-03-06 20:05:00,12.79389492,4.523,1.51362054
2018-03-06 20:10:00,11.78246128,4.523,1.51362054
2018-03-06 20:15:00,11.34729169,3.833,NA
2018-03-06 20:20:00,11.98668992,3.833,1.51362054
2018-03-06 20:25:00,10.53225722,3.833,NA
2018-03-06 20:30:00,11.3306801,3.204,NA
2018-03-06 20:35:00,12.22503132,NA,1.51362054
2018-03-06 20:40:00,10.94347784,3.204,1.51362054
2018-03-06 20:45:00,13.51963812,3.204,1.51362054
2018-03-06 20:50:00,13.70667473,3.204,1.51362054
2018-03-06 20:55:00,11.25453047,3.511,NA
2018-03-06 21:00:00,12.08351414,3.511,1.51362054
2018-03-06 21:05:00,14.02350009,3.511,NA
2018-03-06 21:10:00,13.06735853,3.204,1.51362054
2018-03-06 21:15:00,10.8412468,3.204,1.51362054
2018-03-06 21:20:00,10.4678928,3.511,1.51362054
2018-03-06 21:25:00,11.35554386,3.204,1.51362054
2018-03-06 21:30:00,11.63095695,2.911,1.51362054
2018-03-06 21:35:00,11.4785252,2.911,1.51362054
2018-03-06 21:40:00,12.21187705,3.204,1.51362054
2018-03-06 21:45:00,11.53034733,3.204,1.51362054
2018-03-06 21:50:00,11.41310718,NA,1.51362054
2018-03-06 21:55:00,11.59957598,3.204,NA
2018-03-06 22:00:00,12.41254742,3.204,1.51362054
2018-03-06 22:05:00,13.3869977,3.204,NA
2018-03-06 22:10:00,13.37725661,3.204,NA
2018-03-06 22:15:00,11.70407826,3.204,1.51362054
2018-03-06 22:20:00,12.02697919,3.204,1.51362054
2018-03-06 22:25:00,11.50979261,2.911,1.51362054
2018-03-06 22:30:00,11.83315409,2.911,1.51362054
2018-03-06 22:35:00,11.13106964,3.204,1.51362054
2018-03-06 22:40:00,13.72505916,2.634,NA
2018-03-06 22:45:00,17.08625462,2.634,1.51362054
2018-03-06 22:50:00,11.57581629,2.634,1.51362054
2018-03-06 22:55:00,10.50100874,2.634,1.51362054
2018-03-06 23:00:00,10.58530329,2.371,1.51362054
2018-03-06 23:05:00,9.74096982,2.371,NA
2018-03-06 23:10:00,9.075420792,NA,NA
2018-03-06 23:15:00,8.75279115,0,1.51362054
2018-03-06 23:20:00,7.811059338,2.371,NA
2018-03-06 23:25:00,7.907372532,NA,1.51362054
2018-03-06 23:30:00,7.905896226,NA,1.51362054
2018-03-06 23:35:00,9.775372797,2.123,NA
2018-03-06 23:40:00,10.2866163,2.123,1.51362054
2018-03-06 23:45:00,10.97642975,2.371,1.51362054
2018-03-06 23:50:00,11.1504572,2.371,1.51362054
2018-03-06 23:55:00,10.6669733,2.911,NA
2018-03-07 00:00:00,9.822538881,2.911,1.51362054
2018-03-07 00:05:00,9.467802738,NA,1.51362054
2018-03-07 00:10:00,10.28476777,2.371,1.51362054
2018-03-07 00:15:00,13.32662688,2.371,1.51362054
2018-03-07 00:20:00,9.468768015,NA,1.51362054
2018-03-07 00:25:00,8.218917261,NA,NA
2018-03-07 00:30:00,7.821601677,2.123,1.51362054
2018-03-07 00:35:00,8.02530036,1.67,1.51362054
2018-03-07 00:40:00,7.55180991,NA,1.51362054
2018-03-07 00:45:00,7.265356074,1.89,1.51362054
2018-03-07 00:50:00,7.189073955,1.89,1.51362054
2018-03-07 00:55:00,7.028068275,NA,1.51362054
2018-03-07 01:00:00,8.7455358,1.67,1.51362054
2018-03-07 01:05:00,9.25877295,NA,1.51362054
2018-03-07 01:10:00,7.528176396,1.89,1.51362054
2018-03-07 01:15:00,7.283431359,2.371,1.51362054
2018-03-07 01:20:00,7.117466805,2.371,1.51362054
2018-03-07 01:25:00,6.939262791,2.123,1.51362054
2018-03-07 01:30:00,7.37118324,2.123,1.51362054
2018-03-07 01:35:00,7.331341905,2.123,1.51362054
2018-03-07 01:40:00,7.638230592,1.89,1.51362054
2018-03-07 01:45:00,7.8748938,NA,NA
2018-03-07 01:50:00,10.92227329,1.89,1.51362054
2018-03-07 01:55:00,10.8720915,1.89,1.51362054
2018-03-07 02:00:00,7.326805734,NA,1.51362054
2018-03-07 02:05:00,7.139308563,2.123,1.51362054
2018-03-07 02:10:00,7.903132884,2.123,1.51362054
2018-03-07 02:15:00,6.774011154,NA,1.51362054
2018-03-07 02:20:00,6.875914122,1.67,1.51362054
2018-03-07 02:25:00,7.249697136,1.67,1.51362054
2018-03-07 02:30:00,7.127252064,1.67,1.51362054
2018-03-07 02:35:00,7.250883228,1.89,1.51362054
2018-03-07 02:40:00,6.897206997,NA,NA
2018-03-07 02:45:00,6.234888177,NA,NA
2018-03-07 02:50:00,6.691287546,1.89,1.51362054
2018-03-07 02:55:00,6.777985824,NA,1.51362054
2018-03-07 03:00:00,6.266559357,NA,1.51362054
2018-03-07 03:05:00,6.354746559,NA,1.51362054
2018-03-07 03:10:00,7.264403415,1.89,1.51362054
2018-03-07 03:15:00,6.889333365,1.89,1.51362054
2018-03-07 03:20:00,6.301454436,NA,NA
2018-03-07 03:25:00,6.823088865,NA,1.51362054
2018-03-07 03:30:00,12.06625271,1.89,1.51362054
2018-03-07 03:35:00,6.594911262,1.89,1.51362054
2018-03-07 03:40:00,6.69473226,1.89,1.51362054
2018-03-07 03:45:00,6.889333365,1.89,NA
2018-03-07 03:50:00,7.58127294,NA,1.51362054
2018-03-07 03:55:00,7.191023436,1.67,1.51362054
2018-03-07 04:00:00,8.272341873,1.67,1.51362054
2018-03-07 04:05:00,7.624382337,2.123,1.51362054
2018-03-07 04:10:00,7.51017051,NA,1.51362054
2018-03-07 04:15:00,7.030661274,2.123,1.51362054
2018-03-07 04:20:00,6.969659553,NA,NA
2018-03-07 04:25:00,7.667018559,2.123,NA
2018-03-07 04:30:00,7.0730199,2.371,1.51362054
2018-03-07 04:35:00,9.385407198,2.371,NA
2018-03-07 04:40:00,9.988389873,2.123,1.51362054
2018-03-07 04:45:00,8.400099123,2.123,NA
2018-03-07 04:50:00,8.238191256,NA,1.51362054
2018-03-07 04:55:00,8.5846563,2.371,NA
2018-03-07 05:00:00,9.297560682,2.371,1.51362054
2018-03-07 05:05:00,12.55073344,2.371,1.51362054
2018-03-07 05:10:00,11.13890542,2.634,NA
2018-03-07 05:15:00,10.39212171,2.634,NA
